date,capacity,resistance,CCCT,CVCT,CVCT_ratio,capacity_diff,RUL,Target
2025/1/1,1.126384506847021,0.0940094217658042,6613.059052345847,2251.4980328565025,0.2539887792718871,0,516,0.8251749788496755
2025/1/2,1.1261598161259705,0.0916610211133956,6612.402800333909,2231.9670516618344,0.2523602120911065,-0.000224691,515,0.8159651061023845
2025/1/3,1.125965708259707,0.0946486890316009,6608.560673446514,2228.216959367964,0.2521526569927149,-0.000194108,514,0.8159769853970686
2025/1/4,1.1185076863180938,0.0914128422737121,6604.732221556416,2247.561061407276,0.2538959103097866,-0.007458022,513,0.8251939106307753
2025/1/5,1.1172100749182547,0.0914128422737121,6629.211048845966,2077.692393289035,0.2386258682087289,-0.001297611,512,0.806900151265794
2025/1/6,1.1137535513150445,0.0884163826704025,6619.934535154542,2042.6783893326428,0.235803955127496,-0.003456524,511,0.7977170830305256
2025/1/7,1.0988181436744804,0.0923051163554191,6519.9833041777165,2166.8899870380774,0.2494441802471375,-0.014935408,510,0.8068184901581426
2025/1/8,1.096180326376592,0.0930307656526565,6455.685387555532,2159.8586623985902,0.2506932411784363,-0.002637817,509,0.7976191388042235
2025/1/9,1.0898711301696573,0.0908498615026474,6427.49820538958,2151.903192905782,0.2508220670655813,-0.006309196,508,0.7976266593617038
2025/1/10,1.0875822954661674,0.0915781408548355,6405.686006724049,2144.327434464736,0.2507981360748119,-0.002288835,507,0.7884539791421473
2025/1/11,1.0947478949707463,0.0906857252120971,6392.936184905033,2104.736813184776,0.2476839028352702,0.0071655995045789,506,0.7977044150319033
2025/1/12,1.0955682863426888,0.0897949114441871,6467.884832546115,2019.661805744312,0.2379559007820798,0.0008203913719424,505,0.7885375083130615
2025/1/13,1.0954329180709088,0.0889859497547149,6483.685023578772,1983.5876874668463,0.2342652416142499,-0.000135368,504,0.7885330195099428
2025/1/14,1.095223222083344,0.0874469503760337,6488.046996918478,1969.242195511877,0.2328455549651104,-0.000209696,503,0.7885725094618283
