date,Charge_Q,Charge_energy,CC_energy,CC_CCCT,CC_Q,CC_t_mean,Charge_V_skewness,Charge_V_kurtosis,Charge_C_skewness,Charge_C_mean,Capacity,Target
2025/1/1,1.976429808333333,7.755874337333584,6.508440928648501,25.191,1.679404211666666,12.60003804347827,-0.703428189,1.912483000965024,-0.117348858,2.257107494297813,1.863,94.52054794520548
2025/1/2,1.866881890833333,7.337221898,6.10665755212775,23.608,1.573873196666667,11.804950688905,-0.738253554,1.925692952565137,-0.087948298,2.233819911202193,1.871,94.92643328259767
2025/1/3,1.873625778,7.35883934813025,6.132994287273332,23.726,1.581741123,11.85905342960288,-0.716811031,1.893650602392174,-0.112170826,2.258862603305798,1.877,95.2308472856418
2025/1/4,1.879376478,7.3779328068985,6.150902149537666,23.808,1.587208695833333,11.90781739755572,-0.701581089,1.871543317514363,-0.129182831,2.276310335292099,1.883,95.53526128868594
2025/1/5,1.884898868,7.396765103497833,6.173974426083999,23.906,1.593741844166667,11.95114674302076,-0.688068403,1.851414194317248,-0.144139881,2.291482518210212,1.888,95.78893962455606
2025/1/6,1.889698550833333,7.413050588791417,6.192784256964334,23.987,1.599142385833333,11.99231383737517,-0.677118652,1.835888894929466,-0.155773792,2.302999304589726,1.892,95.99188229325215
2025/1/7,1.894211860833333,7.428676954067667,6.2076573143505,24.052,1.603476715,12.02452350427351,-0.667132579,1.821546048834938,-0.167411549,2.314771169284484,1.897,96.24556062912227
2025/1/8,1.898710239166667,7.444315469377583,6.225122630978084,24.126,1.608410584166667,12.06246661931819,-0.659841898,1.811520559281133,-0.175062198,2.322218273934331,1.901,96.44850329781836
2025/1/9,1.902631805833334,7.457805131192417,6.23782661688675,24.182,1.612144875833334,12.08895535081502,-0.648892209,1.796062686154726,-0.187624745,2.334678225806479,1.9,96.39776763064434
2025/1/10,1.900725490000001,7.4535227628645,6.228933824619583,24.137,1.609141875,12.06793892045454,-0.66287799,1.812892306292094,-0.168364415,2.316336468129587,1.903,96.54997463216641
2025/1/11,1.905269630833334,7.468537506715082,6.243068206630918,24.202,1.613476400000001,12.09781798866856,-0.651452393,1.797320584099404,-0.181844848,2.329387316561861,1.91,96.90512430238456
2025/1/12,1.911423522500001,7.489611434475667,6.26349538349225,24.292,1.619476278333334,12.14549719101123,-0.643786549,1.788496089680391,-0.192096869,2.339383362339039,1.913,97.05733130390665
2025/1/13,1.914987793,7.50197608569375,6.279393837253334,24.358,1.623882304166667,12.17829852838121,-0.637172507,1.779571727711612,-0.199362342,2.346325523012586,1.917,97.26027397260275
2025/1/14,1.918346343,7.513857905879583,6.288925772749499,24.4,1.62668143,12.19944755244755,-0.631793272,1.773878274737677,-0.205912132,2.35282634333569,1.92,97.4124809741248
2025/1/15,1.921449428333333,7.524712213884666,6.301586466039499,24.453,1.630214696666667,12.23397069085835,-0.627465317,1.769347316100978,-0.212559248,2.359022109675199,1.923,97.56468797564688
2025/1/16,1.924207682500001,7.534210442988416,6.312376816161334,24.499,1.633280700833334,12.25173328690808,-0.619381902,1.759400033882844,-0.222363725,2.368487500000029,1.926,97.71689497716895
2025/1/17,1.927023495,7.544249440280501,6.317873584971833,24.525,1.635014882500001,12.26169749652296,-0.618731746,1.759854064335415,-0.223256198,2.3693507692308,1.928,97.818366311517
2025/1/18,1.929579426666667,7.55314963440175,6.324433433327167,24.555,1.637013515833334,12.27978526754691,-0.615242385,1.756345525894535,-0.228386233,2.373994224711263,1.93,97.91983764586504
2025/1/19,1.931874005833334,7.561476944444085,6.334043177,24.594,1.6396136,12.29105343511451,-0.613778424,1.754990702387075,-0.229098507,2.374735746764637,1.933,98.07204464738712
2025/1/20,1.934239542500001,7.568715972069915,6.342544316338166,24.634,1.642279614166667,12.31491794158553,-0.604372374,1.744805805056959,-0.242116271,2.386876594994747,1.936,98.22425164890917
2025/1/21,1.937503564166667,7.58048370400375,6.35348365375925,24.68,1.645346336666667,12.33752916666668,-0.603749504,1.746727603103036,-0.244551773,2.389220577871774,1.938,98.32572298325722
2025/1/22,1.939705543333334,7.5882806798115,6.361548966372333,24.714,1.647612356666667,12.35704160887657,-0.601564264,1.745653086934847,-0.248175813,2.392720303137156,1.94,98.42719431760527
2025/1/23,1.941467458333334,7.594588528667084,6.365207699029501,24.731,1.648743399166667,12.36397505197506,-0.601004699,1.746461928248277,-0.249236811,2.393931254404538,1.942,98.52866565195332
2025/1/24,1.943159109166667,7.60051851927925,6.373823093720416,24.766,1.651074581666667,12.38134602076124,-0.598113733,1.745117431682512,-0.254166405,2.398355414462109,1.944,98.63013698630137
2025/1/25,1.944844033333334,7.606469298347499,6.373535179004999,24.769,1.65127374,12.3822858131488,-0.59933245,1.747927752666894,-0.252575704,2.396966185276538,1.945,98.68087265347539
