date,Capacity,Charge_V_kurtosis,Charge_Q,Charge_energy,CC_energy,CC_t_mean,CC_CCCT,CC_Q,Var12,Var13,Var15,MS_discharge_capacity_Ah_ma_5,MS_discharge_capacity_Ah_slope_20,PS_mean_dist,Cycle,Target
2025/1/1,1.285,1.912483000965024,1.976429808333333,7.755874337333584,6.508440928648501,12.60003804347827,25.191,1.679404211666666,60.2047841813087,4.4634679281071,8.18936491021704,0,0,0,1,1
2025/1/2,1.976,1.925692952565137,1.866881890833333,7.337221898,6.10665755212775,11.804950688905,23.608,1.573873196666667,60.1271324231586,4.98951942268205,41.3261868199224,0,0,0,2,0.9357106981416373
2025/1/3,1.867,1.893650602392174,1.873625778,7.35883934813025,6.132994287273332,11.85905342960288,23.726,1.581741123,60.3622226236124,4.87477327107586,41.5778273955667,0,0,0,3,0.939728779507785
2025/1/4,1.874,1.871543317514363,1.879376478,7.3779328068985,6.150902149537666,11.90781739755572,23.808,1.587208695833333,60.3306310847735,4.84816292001375,41.5947512347749,0,0,0,4,0.9427423405323957
2025/1/5,1.879,1.851414194317248,1.884898868,7.396765103497833,6.173974426083999,11.95114674302076,23.906,1.593741844166667,60.2966386039733,4.85159538028621,41.6440732170067,1.8969999999999998,0,0,5,0.9457559015570065
2025/1/6,1.885,1.835888894929466,1.889698550833333,7.413050588791417,6.192784256964334,11.99231383737517,23.987,1.599142385833333,60.2638850056345,4.85742774603305,41.6845204951063,1.8763999999999998,0,0,6,0.9482672024108487
2025/1/7,1.89,1.821546048834938,1.894211860833333,7.428676954067667,6.2076573143505,12.02452350427351,24.052,1.603476715,60.2386930637219,4.86386797986862,41.7272360648465,1.8821999999999999,0,0.086647418570594,7,0.9502762430939226
2025/1/8,1.894,1.811520559281133,1.898710239166667,7.444315469377583,6.225122630978084,12.06246661931819,24.126,1.608410584166667,60.2079340834098,4.8687516027189,41.7517475487161,1.8874,0,0.06754558669438138,8,0.9527875439477649
2025/1/9,1.899,1.796062686154726,1.902631805833334,7.457805131192417,6.23782661688675,12.08895535081502,24.182,1.612144875833334,60.1892470121534,4.87887536035994,41.7885536771028,1.8922,0,0.05706760177656427,9,0.9547965846308387
2025/1/10,1.903,1.812892306292094,1.900725490000001,7.4535227628645,6.228933824619583,12.06793892045454,24.137,1.609141875,60.157281828935,4.88285439563275,41.7921599061646,1.8956,0,0.05050314684833625,10,0.9542943244600702
